"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","060376012","1","0.1","ppm","1","Santa Clarita","19","79.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/02/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/03/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/04/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/05/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/06/2023","AQS","060376012","1","0.3","ppm","3","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/07/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/08/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/09/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/10/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/11/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/12/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/13/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/14/2023","AQS","060376012","1","0.4","ppm","5","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/15/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
"01/16/2023","AQS","060376012","1","0.2","ppm","2","Santa Clarita","24","100.0000","42101","Carbon monoxide","106","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.38344","-118.5284"
